customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,TechSupport,OnlineSecurity,StreamingTV,NumSupportCalls,MonthlyCharges,TotalCharges,Churn,ChurnProbability,PredictedChurn,ActualChurn,RiskSegment
CUST101344,Male,0,Yes,No,10,One year,No,Electronic check,No,Yes,Yes,No internet service,4,18.0,92.14,No,18.91,No,No,Low Risk
CUST103133,Male,0,Yes,No,72,Two year,DSL,Credit card (automatic),No,Yes,No,No,1,46.33,3326.87,No,0.06,No,No,Low Risk
CUST104318,Female,1,No,No,19,Month-to-month,No,Credit card (automatic),No,Yes,No,No,1,25.73,532.0,No,18.11,No,No,Low Risk
CUST102088,Female,0,Yes,No,72,Month-to-month,No,Bank transfer (automatic),Yes,No internet service,No internet service,No,1,35.15,2459.75,No,0.72,No,No,Low Risk
CUST104382,Male,0,Yes,No,12,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,No,0,73.17,819.08,Yes,22.88,No,Yes,Low Risk
CUST100160,Male,0,Yes,Yes,13,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No internet service,Yes,3,78.17,1003.76,Yes,87.84,Yes,Yes,High Risk
CUST103999,Female,0,No,No,67,Month-to-month,No,Credit card (automatic),No,No,Yes,Yes,4,38.26,2552.86,No,3.83,No,No,Low Risk
CUST104173,Male,0,No,No,29,Two year,DSL,Electronic check,Yes,No,Yes,Yes,0,50.39,1436.12,No,3.72,No,No,Low Risk
CUST102052,Female,0,No,No,28,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,No,No,0,78.85,2261.53,No,38.32,No,No,Medium Risk
CUST104886,Male,0,No,No,55,Month-to-month,No,Bank transfer (automatic),No,No,No,No internet service,0,18.0,996.35,No,1.25,No,No,Low Risk
CUST103027,Male,0,Yes,No,18,Month-to-month,DSL,Electronic check,No,No,No,No,2,52.53,963.78,Yes,73.0,Yes,Yes,High Risk
CUST103120,Female,0,Yes,No,47,Month-to-month,No,Bank transfer (automatic),Yes,Yes,No,No,1,18.0,862.45,No,1.09,No,No,Low Risk
CUST101099,Male,0,No,No,72,Month-to-month,DSL,Credit card (automatic),No,No,No internet service,No internet service,3,56.81,4060.94,No,4.93,No,No,Low Risk
CUST101940,Male,1,Yes,No,15,Month-to-month,DSL,Electronic check,No,No internet service,No,No internet service,4,64.85,1042.32,Yes,94.34,Yes,Yes,High Risk
CUST102781,Female,0,Yes,No,22,One year,DSL,Mailed check,Yes,No internet service,Yes,No,1,49.87,1133.45,No,4.47,No,No,Low Risk
CUST104474,Male,0,Yes,Yes,33,Month-to-month,Fiber optic,Mailed check,No,No,No,No,1,95.5,3214.24,Yes,55.98,Yes,Yes,Medium Risk
CUST103344,Female,1,Yes,Yes,22,Two year,Fiber optic,Credit card (automatic),No,No,No,Yes,3,77.46,1748.4,No,18.95,No,No,Low Risk
CUST104767,Male,0,Yes,No,12,Month-to-month,No,Credit card (automatic),No,No,No,No internet service,1,23.28,274.75,No,18.5,No,No,Low Risk
CUST100174,Female,1,No,No,2,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No internet service,No,1,74.39,221.21,Yes,86.87,Yes,Yes,High Risk
CUST104242,Female,0,Yes,No,26,Two year,Fiber optic,Bank transfer (automatic),Yes,No,Yes,Yes,1,80.33,2077.91,No,3.71,No,No,Low Risk
CUST100862,Female,0,Yes,No,8,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,No internet service,0,66.84,532.54,Yes,30.17,No,Yes,Medium Risk
