customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,TechSupport,OnlineSecurity,StreamingTV,NumSupportCalls,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,No,No,12,One year,Fiber optic,Bank transfer (automatic),Yes,Yes,No,Yes,5,82.37,1063.01,Yes
CUST100001,Female,0,No,Yes,11,Month-to-month,DSL,Credit card (automatic),Yes,Yes,No internet service,Yes,0,64.07,635.63,No
CUST100002,Male,0,Yes,Yes,69,Month-to-month,DSL,Mailed check,Yes,No,Yes,Yes,1,66.78,4663.94,No
CUST100003,Male,1,Yes,No,48,Month-to-month,No,Electronic check,Yes,No,No,No internet service,0,18.09,856.26,Yes
CUST100004,Male,0,No,No,31,One year,DSL,Mailed check,Yes,Yes,No internet service,No internet service,2,82.64,2553.7,No
CUST100005,Female,0,No,No,20,Two year,No,Bank transfer (automatic),No,No,Yes,Yes,4,29.03,517.64,No
CUST100006,Male,1,Yes,No,26,Two year,No,Electronic check,No,No,No internet service,No internet service,1,24.13,688.34,No
CUST100007,Male,0,Yes,No,12,Month-to-month,No,Credit card (automatic),Yes,No,No,Yes,1,38.32,452.47,No
CUST100008,Male,1,No,Yes,30,One year,Fiber optic,Credit card (automatic),No,No,No internet service,Yes,3,83.01,2526.18,No
CUST100009,Female,1,No,No,72,Month-to-month,Fiber optic,Mailed check,Yes,No,No,Yes,2,91.02,6450.13,No
CUST100010,Male,0,No,No,72,Month-to-month,No,Electronic check,Yes,No,No,Yes,2,41.73,2960.0,No
CUST100011,Male,1,No,No,59,Two year,No,Bank transfer (automatic),Yes,No,No,Yes,1,20.76,1237.38,No
CUST100012,Male,0,Yes,Yes,29,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No,1,77.24,2161.07,Yes
CUST100013,Male,0,Yes,No,7,Month-to-month,DSL,Mailed check,Yes,No,Yes,Yes,3,44.09,326.69,Yes
CUST100014,Female,0,No,No,25,Month-to-month,DSL,Electronic check,No,No internet service,No,No internet service,1,35.46,853.41,Yes
CUST100015,Male,1,No,No,50,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,1,85.04,4213.11,No
CUST100016,Female,0,Yes,No,46,Month-to-month,DSL,Electronic check,No,No,No,No,1,66.48,3083.72,No
CUST100017,Female,0,Yes,No,23,Month-to-month,No,Credit card (automatic),Yes,Yes,Yes,No internet service,0,18.0,422.54,No
CUST100018,Female,0,No,No,22,Month-to-month,DSL,Credit card (automatic),Yes,No internet service,No internet service,Yes,2,46.39,964.38,No
CUST100019,Male,0,Yes,No,35,Two year,No,Credit card (automatic),Yes,No,No,No,2,25.67,954.61,No
CUST100020,Female,0,Yes,Yes,27,One year,Fiber optic,Electronic check,No,No,No,No,1,76.82,2099.41,Yes
CUST100021,Male,0,No,No,25,Two year,DSL,Electronic check,No,No,No internet service,Yes,3,79.54,1887.78,No
CUST100022,Female,0,No,No,24,One year,No,Mailed check,No,Yes,No,Yes,1,18.0,416.84,No
CUST100023,Female,0,No,No,65,One year,DSL,Electronic check,Yes,No,Yes,No,1,52.94,3459.76,No
CUST100024,Female,0,Yes,Yes,11,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,2,82.8,905.24,Yes
CUST100025,Female,0,No,No,21,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No internet service,Yes,3,50.8,900.63,No
CUST100026,Female,0,No,Yes,22,One year,No,Bank transfer (automatic),No,No,Yes,No,2,18.94,419.86,No
CUST100027,Female,1,No,Yes,30,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No internet service,0,67.96,2076.68,Yes
CUST100028,Female,0,No,No,27,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,Yes,2,77.8,2096.53,Yes
CUST100029,Female,1,Yes,Yes,25,Month-to-month,Fiber optic,Mailed check,Yes,No,No,No,2,72.89,1825.02,Yes
CUST100030,Male,0,Yes,Yes,11,One year,DSL,Electronic check,No,No,No internet service,No internet service,0,63.19,746.09,No
CUST100031,Male,0,Yes,No,27,Two year,DSL,Credit card (automatic),Yes,Yes,No,Yes,0,59.29,1521.62,No
CUST100032,Female,0,Yes,Yes,41,Month-to-month,No,Electronic check,No,No,Yes,No,2,18.0,774.82,No
CUST100033,Female,0,No,No,31,Month-to-month,Fiber optic,Electronic check,Yes,No,No internet service,Yes,0,53.98,1690.36,Yes
